Código,Descripción,Código_de_Barras,Precio_de_Costo,Inventario
A0229,ALFILER IBI X40UNID. RUEDA,6939141200229            ,234.5,1
A25,ALFILER LOTUS PRODUCTS X25GR X28MM CAJA CARTON,A25                      ,603.91,1
A2825,ALFILER LOTUS X25GR.X28MM EST.ACRILICO,A2825                    ,2654.65,1
A1016S,ALFILER NC X50GR. X28MM X1 CAJITA,A1016S,271.88,1
A1016,ALFILER NC X50GR. X28MM X10 CAJAS,7936000101016,2665.17,1
A8000,ALFILER OLAMI COLOR MT403 RUEDA X40UNIDADES ESTUCHE X12 RUEDAS,6920190418000,3600.96,1
A2853,ALFILER OLAMI MT400 X28MM X50GR.,7290100982853,822.8,1
A8182,ALFILER OLAMI MT400 X28MM X50GR. CAJA X10UNIDADES,6912765168182,8070.7,1
A1326,ALFILER SIFAP C/BOLITA X150UNID.,7792533191326            ,3000.24,1
A3650,ALFILER SIFAP C/GALERA X50UNID.,7792533003650            ,1015.35,1
A0628,ALFILER SIFAP PORTA PRECIO x100Und.,7792533000628            ,2807.59,1
A062810,ALFILER SIFAP PORTA PRECIO x100Und. X10UND.,A062810                  ,27405.7,1
A0014,ALMOHADILLA P/SELLON:1 METAL,7798112830228            ,2319.57,1
A0235,ALMOHADILLA P/SELLON:2 METAL,7798112830235            ,2837.45,1
A0259,ALMOHADILLA P/SELLON:2 PLAST.,7798112830259            ,2693.46,1
A0242,ALMOHADILLA P/SELLON:3 METAL,7798112830242            ,4356,1
A0010,ANILINA BASICA P/CUERO X10GS,A0010                    ,3022.72,1
A0020,ANILINA COLIBRI AL FRIO X20GS.,7795815030016            ,1310.85,1
A00201,ANILINA COLIBRI AL FRIO X20GS.,7795815050106            ,1310.85,1
A0080,ANILINA PARA CUERO LIQUI.X100CC,A0080                    ,4735.45,1
A2000,ANILINA PARA POLIESTER X20GR.,7795815040015            ,3072.29,1
A0402,ANILINA RENOVADOR DE GAMUSA X70CC,A0402                    ,2253,1
A60001,APLICACION FLOR 4002 60001 X144UNID. BLANCO,420100660001             ,1825.57,1
A60006,APLICACION FLOR 4002 60006 X144UNID. ROSADO,420100660006             ,1825.57,1
A2001,APLICACION ROCOCO 2001,A2001                    ,7505.66,1
A2001B,APLICACION ROCOCO 2001 BLANCO,420102001001             ,16353.2,1
A2001C,APLICACION ROCOCO 2001 CELESTE,420100100003             ,16353.2,1
A2001L,APLICACION ROCOCO 2001 LILA,420100100029             ,16353.2,1
A2001M,APLICACION ROCOCO 2001 MET.,                         ,16353.2,1
A2001NA,APLICACION ROCOCO 2001 NATURAL,420100100011             ,16353.2,1
A2001R,APLICACION ROCOCO 2001 ROJO,420100100002             ,16353.2,1
A2001RO,APLICACION ROCOCO 2001 ROSA,420102001006             ,16353.2,1
A2001S,APLICACION ROCOCO 2001 SALMON,420100100004             ,16353.2,1
A2002,APLICACION ROCOCO 2002,A2002                    ,16353.2,1
A2002A,APLICACION ROCOCO 2002 AMARILLO,420102002016             ,16353.2,1
A2002B,APLICACION ROCOCO 2002 Blanco,420102002001             ,16353.2,1
A2002C,APLICACION ROCOCO 2002 Celeste,420100120003             ,16353.2,1
A2002L,APLICACION ROCOCO 2002 LILA,420100120029             ,16353.2,1
A2002M,APLICACION ROCOCO 2002 Metalica,                         ,16353.2,1
A2002NA,APLICACION ROCOCO 2002 NATURAL,420100120011             ,16353.2,1
A2002R,APLICACION ROCOCO 2002 ROJO,420100120002             ,16353.2,1
A2002RO,APLICACION ROCOCO 2002 ROSA,420100120006             ,16353.2,1
A2002S,APLICACION ROCOCO 2002 SALMON,420100120004             ,16353.2,1
